Company,Description,Employees 2025,Employees 2026,Growth,Hires,Sector,Headquarters,Website
Battri,Recyclage des batteries lithium-ion,11,26,237%,15,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Hauts-de-France,abby.fr
Kolecto,La solution de gestion des TPE-PME qui font l'économie française,47,136,189%,89,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,kolecto.fr
Foodflow,"Néodistributeur pour les professionnels de la restauration simple, rapide et transparent",19,54,184%,35,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,FoodFlow.com
Qevlar Ai,Plateforme SOC IA qui n’hallucine pas,16,45,181%,29,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,qevlar.com
Getvocal Ai,Gagnez la confiance de vos clients avec des agents hybrides humain-IA,19,53,179%,34,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,getvocal.ai
Reusses,Confiez les vêtements que vous ne portez plus à une de nos reusses. *Statut VDI intégré,200,550,175%,350,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,reusses.com
Mistral Ai,IA de pointe. Entre vos mains.,270,687,154%,417,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,mistral.ai
Revolt.Eco,Le système d'exploitation des installateurs de la transition énergétique,10,25,150%,15,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,revolt.eco
Tomorro,"La gestion de contrats, à l’ère de l’IA",73,180,146%,107,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,tomorro.com
Hexana,Système nucléaire modulaire et flexible de 4e génération,25,60,140%,35,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Provence-Alpes-Côte d’Azur,hexana.fr
